id,project_id,sub_names,weight_percentage,lng,lat,district
284,p001,金桥出口加工区,0.00026945664603036967,121.640584,31.277602,浦东新区
285,p001,老港镇,0.0018280439270806027,121.842829,31.046248,浦东新区
286,p001,六灶镇,0.00225026108713626,121.701083,31.121671,浦东新区
287,p001,新场镇,0.003681108130835468,121.651845999999,31.046637,浦东新区
288,p001,周家渡街道,0.0070695963126903155,121.507853,31.183179,浦东新区
289,p001,上钢新村街道,0.005127788316965456,121.493744999999,31.178399,浦东新区
290,p001,高行镇,0.006026270344229567,121.615685,31.30155,浦东新区
291,p001,浦兴路街道,0.008672457754743996,121.602294,31.274657,浦东新区
292,p001,三林镇,0.016322407187077777,121.513194,31.160294,浦东新区
293,p001,万祥镇,0.0011268409143156749,121.822008,30.9790539999999,浦东新区
294,p001,洋泾街道,0.007146269776563341,121.554829,31.24298,浦东新区
295,p001,航头镇,0.00446284515719212,121.59646,31.037549,浦东新区
296,p001,金杨新村街道,0.010067582489060074,121.575512,31.258456,浦东新区
297,p001,大团镇,0.0028288061061929057,121.761951,30.981689,浦东新区
298,p001,北蔡镇,0.012283636169311742,121.562431,31.1862669999999,浦东新区
299,p001,东明路街道,0.005934936562544113,121.525408,31.1508359999999,浦东新区
300,p001,潍坊新村街道,0.004797247012442265,121.529413999999,31.229632,浦东新区
301,p001,外高桥保税区,6.592256356248361e-05,121.726283,31.0924659999999,浦东新区
302,p001,沪东新村街道,0.005338603691342828,121.583794,31.277551,浦东新区
303,p001,合庆镇,0.0053560494696404445,121.727422,31.232007,浦东新区
304,p001,书院镇,0.0027871219353082337,121.881918,30.944806,浦东新区
305,p001,周浦镇,0.006543877306459093,121.625428,31.115684,浦东新区
306,p001,金桥镇,0.0032721829921958496,121.635093,31.2563219999999,浦东新区
307,p001,塘桥街道,0.00369987333783702,121.526453,31.215119,浦东新区
308,p001,南码头路街道,0.005038946789610599,121.519287,31.1991719999999,浦东新区
309,p001,康桥镇,0.008131296546613159,121.594746,31.146879,浦东新区
310,p001,花木街道,0.010753880850591865,121.567397,31.2191469999999,浦东新区
311,p001,朝阳农场,4.2123980570287765e-05,121.884712999999,31.09507,浦东新区
312,p001,张江镇,0.007453452306963238,121.621927,31.20873,浦东新区
313,p001,芦潮港农场,3.362099609792494e-05,121.79388,30.860242,浦东新区
314,p001,唐镇,0.0058514704843816165,121.684349,31.2499789999999,浦东新区
315,p001,高东镇,0.004865612962552179,121.638401,31.32187,浦东新区
316,p001,东海农场,2.4824805259230775e-05,121.904843,30.914343,浦东新区
317,p001,宣桥镇,0.0025739609106858376,121.711708,31.032151,浦东新区
318,p001,芦潮港镇,0.0013273451975236443,121.852308,30.861996,浦东新区
319,p001,高桥镇,0.007700332063562484,121.574753,31.356309,浦东新区
320,p001,惠南镇,0.009223881184335236,121.770739999999,31.0353909999999,浦东新区
321,p001,曹路镇,0.007333188831192401,121.676742999999,31.2835049999999,浦东新区
322,p001,泥城镇,0.0028216714180564237,121.836099,30.9150219999999,浦东新区
323,p001,祝桥镇,0.0042224648087277415,121.776035,31.118593,浦东新区
324,p001,陆家嘴街道,0.005497961348282885,121.519859,31.240869,浦东新区
325,p001,川沙新镇,0.016555848323216844,121.70244,31.198952,浦东新区
326,p001,莘庄镇,0.01261966064046462,121.380887,31.116165,闵行区
327,p001,江川路街道,0.008553231009901388,121.425246,31.017145,闵行区
328,p001,古美街道,0.006896343932122044,121.401661,31.150534,闵行区
