,class,"Resident population (10,000)","Population density.
(person/sq km)","Number of households (10,000)",Average population per household (persons),"Urban residents per capita.
Disposable income (RMB)","The inhabitants of urban towns are per capita.
Consumer expenditure (RMB)","General public expenditure.
(Billions)","Investment in urban infrastructure.
(Billions)",Urban population density.,"A built-up area of the city.
Greening coverage (%)","Gross local product.
(Billions)",Gross domestic product per capita (RMB),"Gross domestic product of the first industry.
(Billions)","The gross value of the secondary industry.
(Billions)","The gross value of the tertiary industry.
(Billions)",Investment in environmental protection (RMB 100 million),"Number of college students per 10,000 population.","The level of education of employed persons.
(Undergraduate and above, %)","The amount of municipal household garbage cleared.
(10,000 tons)"
146,0,719.06,923.0,196.29,2.79,17538,12234,262.46,98.52,1815.0,45.49,2855.8,47477,109.6,1377.2,1369.0,85.0,261.0,116.7,161.5
147,0,741.3,938.0,199.62,2.74,20317,13278,342.94,-102.96,1933.0,45.92,3381.2,55230,115.3,1628.7,1637.3,99.69,259.0,120.0,160.6
148,0,758.89,948.74,200.88,2.69,23123,15132,404.92,-304.44,1546.0,46.12,3859.6,62169,119.4,1797.7,1942.5,113.21,257.0,123.3,163.04
149,0,771.31,957.0,205.64,2.73,25504,15873,461.27,-505.92,1593.0,44.11,4287.3,68365,129.2,1960.6,2197.5,127.18,255.0,126.6,160.46
150,0,800.76,960.0,209.29,2.73,28312,17409,542.73,-707.4,1600.0,44.38,5198.2,82368,142.3,2363.4,2692.5,164.89,253.0,129.9,184.78
151,0,810.91,966.0,213.17,2.73,32200,20098,666.21,-908.88,1532.0,44.42,6230.2,98208,164.3,2807.1,3258.8,187.41,251.0,133.2,201.16
152,0,816.1,1239.0,214.42,2.72,36322,22446,769.66,-1110.36,1417.0,44.02,7306.5,114627,185.1,3229.7,3891.8,267.5,249.0,136.5,224.54
153,0,818.78,1243.0,218.04,2.81,39881,24591,850.91,-1311.84,1419.0,44.06,8199.5,127960,195.3,3527.3,4476.9,347.59,247.0,139.8,250.4
154,0,821.61,1247.0,221.6,2.83,42568,25855,921.2,-1513.32,1440.0,44.14,8956.1,138659,214.3,3696.3,5045.5,427.68,245.0,143.1,260.8
155,0,823.59,1250.0,225.14,2.82,46104,27794,1045.57,-1714.8,1462.0,44.47,9861.6,151469,232.4,3983.1,5646.1,507.77,243.0,146.4,238.68
156,0,827.0,1256.0,229.95,2.82,49997,29772,1173.84,-1916.28,1484.0,44.75,10662.3,162017,252.5,4191.3,6218.5,587.86,241.0,149.7,212.72
157,0,833.5,1265.0,238.88,2.81,54538,31385,1354.09,-2117.76,1521.0,44.9,11715.1,171563,263.0,4454.9,6997.2,667.95,239.0,153.0,285.06
158,0,843.62,1281.0,246.44,2.79,59308,33537,1532.72,-2319.24,1555.0,45.06,12820.4,152886,273.4,4721.6,7825.4,748.04,237.0,156.3,311.18
159,0,850.0,1297.0,254.0,2.77,64372,35933,1658.6,-2520.72,1589.0,45.16,14030.2,165681,289.8,5040.9,8699.5,828.13,235.0,159.6,337.3
160,0,701.7,1313.0,193.48,3.1,9668,7790,73.43,123.34,1623.0,34.4,1382.6,22342,104.0,709.3,569.3,908.22,233.0,162.9,363.42
161,0,553.4,379.0,195.56,2.98,10896,8968,104.93,193.89,1657.0,34.68,1568.0,25074,111.5,793.6,663.0,988.31,231.0,166.2,132.1
162,0,405.1,384.0,198.27,2.93,11778,9215,141.02,216.81,1691.0,37.88,1781.8,28150,114.6,901.8,765.4,1068.4,229.0,169.5,139.8
163,0,256.8,387.31,201.12,2.92,12898,9950,163.59,326.02,1725.0,36.57,2099.8,32819,126.6,1075.8,897.4,1148.49,227.0,172.8,161.5
164,0,108.5,392.67,204.52,2.92,14565,11213,195.63,377.38,1759.0,35.91,2543.2,39293,132.2,1318.2,1092.7,1228.58,225.0,176.1,164.4
165,0,771.3,397.96,207.42,2.84,16601,13438,238.33,428.74,398.0,36.2,2943.8,44871,148.2,1494.4,1301.3,1308.67,223.0,179.4,165.1
166,0,789.4,401.49,209.91,2.81,19027,14472,275.48,480.1,3490.0,38.14,3443.5,51908,154.9,1728.4,1560.2,1388.76,221.0,182.7,138.9
167,0,807.0,405.13,211.99,2.72,21689,14896,335.72,531.46,3098.0,35.24,4104.0,61315,163.5,2045.9,1894.7,1468.85,219.0,186.0,161.94
168,0,820.2,408.32,213.74,2.75,24104,16719,419.67,582.82,3164.0,38.6,4789.0,70948,179.8,2372.6,2236.6,1548.94,217.0,189.3,157.18
169,0,833.4,411.77,215.28,2.68,26864,17952,490.4,634.18,2979.0,39.94,5111.4,75111,190.5,2365.8,2555.1,1629.03,215.0,192.6,218.18
170,0,870.54,415.23,216.51,2.7,30035,20219,616.58,685.54,3255.0,39.95,5965.7,86932,208.4,2819.8,2937.5,1709.12,213.0,195.9,211.67
171,0,873.8,419.2,218.26,2.71,34065,21404,747.5,736.9,3336.0,40.04,7037.3,101634,236.8,3280.5,3520.0,1789.21,211.0,199.2,217.11
172,0,880.2,422.74,218.95,2.69,37511,22800,786.28,788.26,3567.0,40.07,7833.6,112211,255.1,3500.1,4078.4,1869.3,209.0,202.5,233.6
173,0,884.4,425.77,220.66,2.79,39310,24833,855.73,839.62,3762.0,40.23,8398.6,119372,261.6,3574.3,4562.7,1949.39,207.0,205.8,264.21
174,0,889.2,431.28,222.35,2.79,44632,32165,961.18,890.98,3772.0,40.57,9206.2,129448,274.3,3845.6,5086.2,2029.48,205.0,209.1,283.2
175,0,901.8,436.25,225.79,2.79,48316,33818,1205.48,942.34,3527.0,40.43,10050.2,139653,287.9,3909.0,5853.2,2109.57,203.0,212.4,351.98
176,0,918.8,554.0,229.57,2.8,52185,35686,1404.31,993.7,3282.0,40.7,11313.7,155030,304.2,4120.9,6888.6,2189.66,201.0,215.7,342.46
177,0,946.8,570.0,235.26,2.91,56276,38179,1540.92,1045.06,3689.0,40.1,12603.4,169187,311.1,4362.5,7929.8,2269.75,199.0,219.0,351.12
178,0,980.6,582.0,241.84,2.93,61172,41615,1717.08,1096.42,4096.0,40.78,13509.2,140180,305.5,4571.9,8631.7,2349.84,197.0,222.3,359.78
179,0,1036.0,594.0,248.42,2.95,66068,36255,1952.9,1147.78,4503.0,41.46,15373.0,152465,326.0,4875.0,10172.0,2429.93,195.0,225.6,368.44
180,0,1110.85,818.0,317.2,2.88,7649,6423,79.62,1199.14,4910.0,20.3,1156.8,11471,116.4,422.1,618.3,2510.02,193.0,228.9,93.0
181,0,1134.22,823.0,320.63,2.98,8128,6801,100.29,1250.5,5317.0,21.9,1322.1,11779,118.5,490.3,713.3,2590.11,191.0,232.2,101.4
182,0,1157.41,829.9,325.35,2.92,8972,2549,121.72,1301.86,5724.0,24.3,1488.8,12993,125.5,558.6,804.7,2670.2,189.0,235.5,119.4
183,0,1173.4,842.9,336.12,2.89,9641,7058,136.1,1353.22,6131.0,29.3,1705.3,14632,137.1,652.5,915.8,2750.29,187.0,238.8,126.4
184,0,1194.13,883.1,350.53,2.89,10394,8997,156.44,1404.58,6538.0,36.1,2031.1,17158,168.2,805.6,1057.2,2830.38,185.0,242.1,133.0
185,0,1221.72,873.3,366.72,2.87,11359,9642,195.24,1455.94,890.0,36.5,2376.0,19670,177.1,984.2,1214.7,2910.47,183.0,245.4,138.0
186,0,1248.5,1007.7,382.22,2.98,12789,8309,252.24,900.77,4773.0,38.02,2772.2,22445,195.1,1171.0,1406.1,2990.56,181.0,248.7,152.1
187,0,1257.94,1015.3,391.58,2.9,14849,11703,356.34,961.78,5071.0,38.03,3364.8,26849,235.1,1444.1,1685.6,3070.65,179.0,252.0,181.52
188,0,1270.62,1025.5,405.2,2.74,16943,12849,506.43,134.0,4911.0,38.58,3944.9,31203,262.9,1735.0,1947.1,3150.74,177.0,255.3,189.08
189,0,1286.6,1038.4,417.87,2.74,18659,14088,600.97,197.03,5369.0,38.82,4502.6,35215,267.8,2001.8,2233.0,3.2,175.0,258.6,217.84
190,0,1404.76,1171.0,430.68,2.67,20835,15512,777.38,193.43,5572.0,39.43,5551.3,41253,285.1,2480.9,2785.3,-3144.34,173.0,261.9,262.07
191,0,1407.08,1173.0,439.69,2.65,23932,17795,857.87,226.74,5748.0,39.15,6950.6,49438,327.3,3143.8,3479.4,-6291.88,171.0,265.2,221.88
192,0,1417.78,1181.0,446.85,2.63,27194,18814,983.85,275.17,5878.0,39.38,8138.9,57624,348.1,3765.6,4025.2,-9439.42,169.0,268.5,238.43
193,0,1429.76,1182.0,455.05,2.61,29968,20362,1161.75,305.34,6021.0,40.17,9108.9,63977,353.2,4181.5,4574.2,-12586.96,167.0,271.8,253.59
194,0,1442.75,1190.0,467.16,2.59,32665,21711,1340.04,335.51,6194.0,35.86,10056.6,70019,357.1,4508.5,5191.0,-15734.5,165.0,275.1,267.2
195,0,1465.75,1209.0,475.99,2.58,33476,21825,1468.42,365.68,6116.0,39.84,10801.2,74273,373.2,4723.5,5704.5,-18882.04,163.0,278.4,273.55
196,3,1591.76,1110.0,536.86,2.61,35902,23514,1595.9,395.85,6038.0,41.39,12170.2,76960,474.9,5202.0,6493.3,-22029.58,161.0,281.7,350.96
197,3,1604.47,1119.0,550.65,2.61,38918,25314,1756.7,426.02,6003.0,41.63,13889.4,86911,500.9,5998.2,7390.3,-25177.12,159.0,285.0,442.95
198,3,1633.0,1139.0,563.23,2.61,42128,27312,1837.4,456.19,5968.0,41.7,15342.8,94782,522.6,6516.2,8304.0,-28324.66,157.0,288.3,534.94
199,3,1661.53,1159.0,575.81,2.61,45878,29720,20064.41,486.36,5933.0,42.8,17012.7,103386,612.2,5244.6,11155.9,-31472.2,155.0,291.6,626.93
200,3,534.05,1400.0,97.0,2.61,11977,10663,72.21,21.51,871.0,35.2,1050.4,20231,66.1,505.8,385.4,-34619.74,153.0,294.9,718.92
201,0,549.09,1427.0,98.55,2.61,13600,10316,94.67,30.61,880.0,35.42,1189.2,21958,68.5,566.3,433.5,-37767.28,151.0,298.2,44.1
202,0,556.66,1446.0,100.67,3.15,13582,10947,104.19,39.6,881.0,42.75,1328.5,24030,72.1,625.7,478.0,-40914.82,149.0,301.5,52.5
203,0,564.35,1466.0,102.3,3.69,14827,11231,120.45,69.85,894.0,19.96,1578.5,28162,77.1,764.6,539.9,-44062.36,147.0,304.8,71.4
204,0,575.01,1494.0,103.96,3.02,16045,12514,130.93,356.88,912.0,35.62,1918.0,33669,82.3,957.8,616.4,-47209.9,145.0,308.1,66.9
205,0,580.03,1507.0,105.0,2.35,17424,14486,150.85,491.04,921.0,28.7,2450.7,42434,75.8,1439.4,868.0,-50357.44,143.0,311.4,232.3
206,0,585.83,1522.0,105.34,1.68,19315,15107,175.4,572.15,3954.0,35.1,3020.8,51018,75.7,1842.3,1010.2,-53504.98,141.0,314.7,70.3
207,0,592.33,1539.12,107.0,1.01,21754,17639,31.93,587.13,3769.0,31.54,3696.4,59915,82.2,2327.7,1195.2,-56652.52,139.0,318.0,72.93
208,0,657.43,1708.0,108.75,0.34,22494,17553,37.64,593.59,3578.0,36.21,4419.0,68667,95.2,2842.8,1395.3,-59800.06,137.0,321.3,66.4
209,0,687.47,1786.0,110.46,-0.33,24578,19296,38.61,441.69,3342.0,36.57,4852.9,72167,95.8,3037.7,1687.4,-62947.6,135.0,324.6,67.76
210,0,719.91,1871.0,111.95,-1.0,27245,21995,46.7,532.34,2952.0,37.11,5685.4,80794,105.4,3542.5,2003.6,-66095.14,133.0,327.9,73.5
211,0,723.1,1879.0,113.37,-1.67,30718,23782,60.25,368.46,3129.0,37.49,6259.7,86759,118.9,3871.0,2220.4,-69242.68,131.0,331.2,74.31
212,0,726.18,1912.0,114.06,-2.34,34580,26164,68.29,384.91,2870.0,38.36,6677.2,92145,130.5,4113.3,2369.2,-72390.22,129.0,334.5,99.01
213,0,729.57,1921.0,115.96,-3.01,38038,28309,74.31,391.39,2934.0,39.7,7117.5,97784,139.1,4340.4,2530.8,-75537.76,127.0,337.8,74.47
214,0,735.06,1936.0,116.26,-3.68,36555,26043,78.62,496.53,2647.0,39.78,7561.4,103253,133.8,4602.2,2705.7,-78685.3,125.0,341.1,89.27
215,0,743.06,1957.0,116.8,-4.35,39757,28396,799.93,477.44,2469.0,40.42,8133.7,110054,136.5,4839.5,3028.0,-81832.84,123.0,344.4,93.84
216,0,746.27,1965.0,119.9,-5.02,43120,31303,695.85,540.22,1965.0,40.96,8757.7,117606,145.3,5146.0,3338.7,-84980.38,121.0,347.7,100.32
217,0,765.67,2016.0,125.45,-5.69,46849,33451,774.96,829.68,2478.0,42.83,9398.5,124324,133.7,5424.7,3840.2,-88127.92,119.0,351.0,103.77
218,0,790.57,2082.0,131.0,-6.36,55233,34804,331.27,390.77,2082.0,44.7,9935.9,127691,144.5,5614.0,4177.4,-91275.46,117.0,354.3,107.22
219,0,815.86,2148.0,136.55,-7.03,55233,37970,941.57,579.61,1686.0,46.57,10751.0,138000,156.9,6044.6,4549.5,-94423.0,115.0,357.6,110.67
220,0,841.15,664.0,224.73,3.14,8016,6677,87.87,90.06,1738.0,37.02,1191.3,16009,140.9,555.2,495.2,-97570.54,113.0,360.9,83.0
221,0,866.44,667.0,227.43,3.12,8731,6849,78.84,101.34,1750.0,37.5,1368.6,18128,144.4,643.4,580.8,-100718.08,111.0,364.2,83.4
222,0,891.73,672.0,229.67,3.12,8721,7344,92.61,119.1,1791.0,36.43,1583.5,20655,147.2,758.3,678.0,-103865.62,109.0,367.5,85.0
223,0,917.02,677.0,232.26,3.1,10075,8395,147.17,203.97,1829.0,37.48,1869.4,23986,148.9,923.8,796.8,-107013.16,107.0,370.8,82.0
224,0,942.31,686.0,235.29,3.11,11089,9002,164.1,287.1,1831.0,38.8,2270.2,28540,163.5,1149.9,956.7,-110160.7,105.0,374.1,91.3
225,0,819.55,695.0,237.35,3.12,12920,9883,203.1,370.23,1878.0,38.8,2687.5,33085,178.3,1392.0,1117.1,-113308.24,103.0,377.4,96.6
226,0,829.42,703.0,239.33,3.13,15328,11945,236.79,453.36,1931.0,39.2,3183.2,38608,184.0,1667.0,1332.3,-116455.78,101.0,380.7,104.4
227,0,838.67,711.0,241.55,3.14,17856,13376,321.18,536.49,1964.0,36.66,3750.2,44964,203.6,1934.5,1612.1,-119603.32,99.0,384.0,127.83
228,0,845.61,715.0,243.18,3.13,20464,14999,369.41,619.62,1966.0,41.52,4401.6,52266,223.4,2234.8,1943.3,-122750.86,97.0,387.3,137.0
229,0,850.03,676.0,244.74,3.12,22368,16080,433.58,702.75,1964.0,43.38,4853.9,57251,230.3,2420.1,2203.5,-125898.4,95.0,390.6,140.68
230,0,871.51,677.0,246.11,3.1,24998,17531,532.39,785.88,1966.0,43.38,5749.0,65827,277.0,2823.4,2648.6,-129045.94,93.0,393.9,138.94
231,0,879.51,679.0,247.94,3.09,28567,19297,658.7,869.01,1972.0,44.69,6725.8,76804,306.4,3236.9,3182.5,-132193.48,91.0,397.2,135.05
232,0,886.85,682.0,249.27,3.09,32145,20391,765.98,952.14,1753.0,44.7,7424.3,84063,324.4,3496.5,3603.5,-135341.02,89.0,400.5,147.36
233,0,896.41,685.76,250.6,3.09,35227,22060,1014.23,1035.27,1624.0,44.71,8147.3,91376,340.5,3745.1,4061.7,-138488.56,87.0,403.8,110.54
234,0,904.62,691.93,251.93,3.09,38294,24122,1074.71,1118.4,1657.0,44.71,8850.5,98283,349.6,4015.0,4485.9,-141636.1,85.0,407.1,100.94
235,0,909.7,694.03,253.26,3.09,40370,26052,1222.9,1201.53,1723.0,39.44,9472.4,104418,364.0,4168.1,4940.3,-144783.64,83.0,410.4,184.97
236,0,920.4,816.0,254.59,3.09,43598,28285,1352.8,1284.66,1925.0,38.56,10184.7,111302,359.3,4309.7,5515.8,-147931.18,81.0,413.7,193.28
237,0,929.05,823.0,255.92,3.09,47176,30569,1403.03,1367.79,1942.0,39.05,11024.1,119215,368.9,4546.2,6109.1,-151078.72,79.0,417.0,208.11
238,0,939.48,830.0,257.25,3.09,50817,32890,1559.8,1450.92,1959.0,39.2,12001.5,128459,386.9,4850.6,6764.0,-154226.26,77.0,420.3,268.0
239,0,949.91,837.0,258.58,3.09,54484,32770,1576.6,1534.05,1976.0,39.35,11741.3,124282,410.0,4182.8,7148.6,-157373.8,75.0,423.6,327.89
240,0,960.34,681.0,198.18,2.92,9274,7027,79.27,113.62,2820.0,31.1,1540.7,26692,91.0,870.1,579.6,-160521.34,73.0,426.9,387.78
241,0,970.77,684.0,199.48,2.91,9274,7270,110.36,124.27,3664.0,33.28,1760.3,30384,91.4,999.9,669.0,-163668.88,71.0,430.2,101.1
242,0,981.2,688.0,201.92,2.89,10617,7682,158.55,178.82,4508.0,36.22,2080.4,35733,91.7,1211.5,777.1,-166816.42,69.0,433.5,134.4
243,0,991.63,696.0,204.91,2.88,12361,9272,183.6,412.79,5352.0,37.2,2801.6,47693,75.8,1771.9,954.0,-169963.96,67.0,436.8,143.3
244,0,1002.06,705.0,205.89,2.91,14451,9783,233.13,417.52,6196.0,39.22,3365.9,46619,78.6,2235.1,1052.2,-173111.5,65.0,440.1,153.5
245,0,758.0,715.0,206.83,2.93,16276,11163,335.28,488.1,716.0,40.2,4173.5,56142,82.1,2712.0,1379.4,-176259.04,63.0,443.4,164.6
246,0,810.0,726.0,207.24,2.97,18532,12472,386.2,477.07,4884.0,42.96,4948.1,63131,94.8,3193.0,1660.2,-179406.58,61.0,446.7,94.1
247,0,882.12,736.0,208.7,2.99,21260,13959,496.94,455.61,2897.0,38.0,5914.3,69910,105.3,3687.5,2121.5,-182554.12,59.0,450.0,109.7
248,0,912.65,742.0,209.65,3.0,23867,15183,622.37,514.22,2969.0,41.04,7163.4,79825,121.2,4331.7,2710.6,-185701.66,57.0,453.3,118.3
249,0,936.95,746.0,210.69,3.01,26320,17121,686.78,676.99,3087.0,42.04,7851.0,84894,129.0,4642.9,3079.1,-188849.2,55.0,456.6,136.2
250,0,1046.6,751.0,211.79,3.01,29219,18979,825.67,732.21,1769.0,42.7,9366.5,94430,140.8,5372.7,3852.9,-191996.74,53.0,459.9,121.37
251,0,1051.87,757.0,213.24,3.01,34617,22330,1002.63,763.61,1852.0,42.2,10885.9,103739,161.0,6103.8,4621.1,-195144.28,51.0,463.2,122.4
252,0,1054.91,763.0,214.04,3.03,37531,23092,1113.47,963.61,1827.0,42.06,12207.8,115891,176.5,6672.7,5358.5,-198291.82,49.0,466.5,182.91
253,0,1057.87,770.0,215.57,3.03,41143,25197,1212.68,1030.6,1882.0,42.06,13191.3,124872,193.3,6955.1,6042.9,-201439.36,47.0,469.8,145.61
254,0,1060.4,779.0,217.46,3.04,46677,28973,1304.83,1022.15,1926.0,42.39,13994.4,132131,204.0,7096.7,6693.8,-204586.9,45.0,473.1,213.87
255,0,1061.6,770.0,219.23,3.04,50390,31136,1527.17,1070.93,1967.0,43.08,14761.4,139127,215.7,7270.3,7275.3,-207734.44,43.0,476.4,239.86
256,0,1064.74,783.0,222.44,3.05,54341,33305,1617.16,738.09,2008.0,42.66,15748.6,148129,221.8,7462.6,8064.2,-210881.98,41.0,479.7,246.18
257,0,1068.36,798.0,226.58,3.05,58806,35104,1771.5,756.61,2185.0,42.15,17319.5,162388,222.0,8235.9,8861.7,-214029.52,39.0,483.0,272.65
258,0,1072.17,813.0,230.92,3.05,63481,37423,1952.8,488.5,2362.0,42.27,18597.5,173765,214.0,8933.3,9450.2,-217177.06,37.0,486.3,325.56
259,0,1075.98,828.0,235.26,3.05,68629,39648,2141.3,220.39,2539.0,42.27,19235.8,179200,196.7,9130.2,9908.9,-220324.6,35.0,489.6,378.47
260,0,644.84,2616.0,41.4,3.89,14142,12603,33.61,21.3,2616.0,9.2,820.3,13679,31.1,269.1,192.5,-223472.14,33.0,492.9,431.38
261,0,654.43,2655.0,42.12,3.75,16938,14669,47.86,28.74,2655.0,9.02,991.9,15268,31.6,315.3,232.1,-226619.68,31.0,496.2,198.7
262,0,654.84,2657.0,43.15,3.66,16949,15157,64.96,39.6,2657.0,10.97,1186.9,18131,30.3,369.7,272.8,-229767.22,29.0,499.5,228.0
263,0,655.25,2658.0,44.5,3.57,18471,15446,76.52,22.23,2658.0,16.65,1452.5,22174,28.1,512.3,407.6,-232914.76,27.0,502.8,218.3
264,0,655.66,2660.0,45.46,3.5,20526,18426,94.16,20.8,2660.0,9.72,1806.0,27554,27.7,640.6,487.0,-236062.3,25.0,506.1,271.5
265,0,656.07,2662.0,46.5,3.38,22882,21678,117.04,48.9,2662.0,14.5,2188.2,33363,19.6,1236.2,925.8,-239209.84,23.0,509.4,247.5
266,0,685.66,2782.0,47.7,3.68,25320,18995,147.9,54.73,4793.0,33.0,2635.6,39287,11.8,1527.3,1087.5,-242357.38,21.0,512.7,354.0
267,0,717.02,2909.0,49.25,3.41,27025,21545,193.1,344.84,5219.0,41.72,3169.3,45189,11.9,1791.0,1349.0,-245504.92,19.0,516.0,395.46
268,0,750.6,3045.0,50.64,3.43,30275,23208,218.26,378.26,2951.0,43.35,3715.7,50635,12.3,1954.2,1736.1,-248652.46,17.0,519.3,388.92
269,0,786.08,3189.0,52.12,3.38,33045,24270,232.62,464.07,2471.0,43.36,3811.0,49601,14.8,1823.1,1926.0,-251800.0,15.0,522.6,367.2
270,0,822.48,3343.0,53.05,3.32,35690,25733,289.83,549.88,2404.0,43.37,4308.9,53575,16.6,2160.8,2069.1,-254947.54,13.0,525.9,357.27
271,0,825.48,3356.0,53.9,3.39,39513,27495,351.92,635.69,2424.0,44.52,4815.3,58440,17.9,2366.2,2351.3,-258095.08,11.0,529.2,378.08
272,0,829.23,3371.0,54.41,3.43,42944,31369,385.58,463.46,2443.0,44.96,5096.0,61593,18.8,2375.6,2615.8,-261242.62,9.0,532.5,384.35
273,0,831.66,3381.0,55.03,3.47,46594,33251,444.66,291.23,2526.0,45.95,5590.6,67320,20.1,2518.9,2951.1,-264390.16,7.0,535.8,380.84
274,0,834.31,3392.0,55.88,3.51,36764,27071,457.68,119.0,2460.0,45.25,5968.4,71651,20.4,2794.4,3066.6,-267537.7,5.0,539.1,380.08
275,0,825.41,3355.0,56.72,3.55,39793,30688,581.24,-53.23,2417.0,44.71,6374.3,76812,21.0,2922.1,3332.0,-270685.24,3.0,542.4,390.43
276,0,826.14,3358.0,58.26,3.59,43096,30688,599.29,-225.46,2374.0,47.67,6937.1,84007,24.2,3173.2,3630.3,-273832.78,1.0,545.7,303.37
277,0,834.25,3391.0,60.74,3.63,46739,32498,667.65,265.69,2637.0,46.98,7582.1,91329,22.9,3663.2,3896.0,-276980.32,-1.0,549.0,392.57
278,3,839.22,3411.0,65.34,3.67,52721,33675,765.41,312.61,2900.0,53.59,8278.6,98939,25.0,4027.2,4226.3,-280127.86,-3.0,552.3,481.77
279,3,846.45,3431.0,69.94,3.71,55156,36198,865.58,0.0,3163.0,35.86,9482.5,112507,28.5,5361.5,4092.5,-283275.4,-5.0,555.6,570.97
280,0,689.0,689.0,187.08,2.99,6364,5446,46.5,89.45,3225.0,33.3,646.1,9484,44.7,277.1,324.4,-286422.94,-7.0,558.9,98.41
281,0,696.0,696.0,188.98,3.03,6705,5816,57.3,129.71,3287.0,34.2,734.9,10628,45.9,312.9,376.1,-289570.48,-9.0,562.2,131.6
282,0,704.0,704.0,191.71,3.01,7184,6419,63.8,148.62,3349.0,35.06,826.7,11831,47.8,353.6,425.3,-292718.02,-11.0,565.5,126.2
283,0,717.8,718.0,195.32,3.04,7748,6805,76.6,211.09,3411.0,32.14,946.7,13341,50.7,407.4,488.6,-295865.56,-13.0,568.8,146.8
284,0,726.24,717.0,199.33,2.99,8544,7428,87.3,219.64,3473.0,30.3,1102.4,15294,60.2,476.9,565.3,-299013.1,-15.0,572.1,132.8
285,0,806.81,734.0,203.04,2.93,9628,7900,97.82,228.19,734.0,30.4,1313.9,16406,66.0,540.5,707.4,-302160.64,-17.0,575.4,144.5
286,0,822.52,745.0,207.04,2.9,10905,8987,119.22,236.74,11993.0,39.82,1538.9,18890,70.4,645.7,822.9,-305308.18,-19.0,578.7,146.0
287,0,830.54,756.0,211.12,2.91,12262,10098,161.25,245.29,10556.0,39.71,1856.6,22463,82.5,781.9,992.2,-308455.72,-21.0,582.0,147.33
288,0,837.52,764.0,216.52,2.82,15207,12016,226.99,253.84,10559.0,40.33,2318.1,27794,103.5,981.6,1233.1,-311603.26,-23.0,585.3,152.44
289,0,843.46,773.0,221.51,2.84,18963,14251,276.85,262.39,10305.0,40.42,2724.9,32420,110.4,1144.8,1469.8,-314750.8,-25.0,588.6,178.85
290,0,847.41,774.0,226.71,2.81,22244,11181,371.62,270.94,10324.0,40.43,3242.9,38357,140.1,1357.5,1745.3,-317898.34,-27.0,591.9,209.33
291,0,851.34,783.0,234.34,2.83,25981,19306,494.58,279.49,9183.0,41.15,3869.8,45561,173.1,1583.2,2113.5,-321045.88,-29.0,595.2,233.53
292,0,855.29,788.0,239.54,2.76,29982,21434,597.47,288.04,9301.0,42.0,4394.5,51499,195.6,1781.1,2417.8,8.23,-31.0,598.5,251.23
293,0,858.81,799.0,245.53,2.73,33100,23848,729.81,296.59,9091.0,42.2,4925.0,57464,200.5,1998.8,2725.7,7.6,-33.0,601.8,255.66
294,0,862.75,807.0,250.26,2.7,36100,20893,819.54,305.14,8852.0,42.5,5492.6,63794,214.6,2194.8,3083.3,12.99,-35.0,605.1,308.08
295,0,870.56,808.0,253.12,2.8,33188,22415,917.24,313.69,7820.0,42.62,5801.2,66938,220.2,2126.3,3454.7,25.0,-37.0,608.4,332.34
296,0,883.21,817.0,256.65,2.8,35630,23799,942.52,322.24,6788.0,42.57,6282.7,71647,232.0,2200.4,3850.3,53.69,-39.0,611.7,346.81
297,0,961.67,837.0,267.68,2.8,38536,25374,1045.09,330.79,6107.0,41.0,7471.9,78368,281.1,2596.5,4594.3,22.9,-41.0,615.0,183.36
298,0,1000.37,914.0,290.14,2.8,38729,25961,1151.9,339.34,5426.0,41.6,8349.9,85114,258.8,2925.6,5165.4,14.21,-43.0,618.3,424.0
299,3,1020.35,991.0,312.6,2.8,41850,26548,1247.51,347.89,4745.0,42.2,9321.2,92256,279.1,3167.4,5874.6,5.52,-45.0,621.6,664.64
300,2,613.87,496.0,170.59,3.07,7530,7370,42.92,42.08,3091.0,28.28,720.8,11789,74.1,281.5,365.2,-3.17,-47.0,624.9,905.28
301,0,620.08,497.0,170.38,3.04,8704,7745,55.32,85.92,3153.0,28.25,818.5,13267,78.4,318.3,421.9,-11.86,-49.0,628.2,94.4
302,0,626.88,504.0,174.82,2.99,9021,7740,62.55,110.8,3251.0,29.2,930.3,14921,79.2,364.3,486.8,-20.55,-51.0,631.5,95.0
303,0,628.35,509.15,177.1,3.06,9933,8558,78.42,135.68,3397.0,36.62,1086.1,17305,83.3,450.3,552.5,-29.24,-53.0,634.8,75.9
304,0,629.0,516.44,180.05,3.05,11021,9056,100.55,94.69,3528.0,35.69,1309.0,20821,104.6,549.2,655.2,-37.93,-55.0,638.1,83.9
305,0,639.3,525.36,184.1,2.85,12434,9660,133.05,137.15,3750.0,36.9,1797.8,28351,114.0,794.5,889.4,-46.62,-57.0,641.4,84.7
306,0,646.5,533.89,187.7,2.81,13924,10680,167.19,138.9,3962.0,38.04,2137.8,33253,116.3,989.4,1032.1,-55.31,-59.0,644.7,77.5
307,0,652.92,539.27,191.59,2.82,16153,12288,218.17,227.11,4036.0,31.21,2604.7,40090,133.0,1223.4,1248.3,-64.0,-61.0,648.0,85.0
308,0,658.56,545.85,196.35,2.97,18282,12646,260.56,348.53,2591.0,31.69,3334.2,50846,172.1,1694.5,1467.5,-72.69,-63.0,651.3,101.46
309,0,664.22,551.31,200.52,2.99,20004,15020,314.08,490.07,2589.0,38.38,3787.8,57271,179.4,1920.2,1688.3,-81.38,-65.0,654.6,107.29
