,class,"Resident population (10,000)","Population density.
(person/sq km)","Number of households (10,000)",Average population per household (persons),"Urban residents per capita.
Disposable income (RMB)","The inhabitants of urban towns are per capita.
Consumer expenditure (RMB)","General public expenditure.
(Billions)","Investment in urban infrastructure.
(Billions)",Urban population density.,"A built-up area of the city.
Greening coverage (%)","Gross local product.
(Billions)",Gross domestic product per capita (RMB),"Gross domestic product of the first industry.
(Billions)","The gross value of the secondary industry.
(Billions)","The gross value of the tertiary industry.
(Billions)",Investment in environmental protection (RMB 100 million),"Number of college students per 10,000 population.","The level of education of employed persons.
(Undergraduate and above, %)","The amount of municipal household garbage cleared.
(10,000 tons)"
34,2,2151.6,1311.0,522.6,2.49,48532,33718,4524.67,2018.1,1525.0,47.4,21944.1,102869,159.2,4663.4,17121.5,1915.65,263.0,37.37,733.84
35,2,2170.5,1323.0,529.2,2.54,52859,33642,5737.7,2174.5,1541.0,48.4,23685.7,109603,140.4,4660.6,18884.7,1971.41,203.0,32.9,790.33
36,2,2172.9,1324.0,538.2,2.62,57275,38256,6406.77,2399.5,1145.0,48.4,25669.1,118198,129.8,4944.4,20594.9,2027.17,143.0,34.4,872.61
37,2,2170.7,1323.0,543.1,2.62,64206,40346,6824.53,2984.2,1144.0,48.4,28014.9,128994,120.4,5326.8,22567.8,2082.93,83.0,37.6,924.77
38,2,2154.2,1313.0,548.8,2.58,67990,42926,7972.6,2664.89,1136.0,48.4,30320.0,140211,118.7,5647.7,24553.6,2138.69,23.0,39.5,975.7
39,2,2153.6,1312.0,554.5,2.54,71774,45506,7892.6,2563.62,1128.0,48.4,35371.3,164000,113.7,5715.1,29542.5,2194.45,-37.0,41.4,1026.63
40,2,701.24,3596.0,38.87,3.21,20906,18201,225.04,286.21,1120.0,45.0,2187.5,32800,17.3,874.0,774.1,30.68,-97.0,43.3,1077.56
41,0,724.57,3710.0,41.14,3.21,22760,17815,253.7,284.4,1112.0,45.0,2482.5,34822,18.1,1055.7,880.9,42.86,-157.0,45.2,122.0
42,0,746.62,3823.25,44.73,3.12,24941,18931,307.77,32.64,1104.0,43.2,2969.5,40369,19.1,1234.7,1003.1,47.44,-217.0,47.1,129.0
43,0,778.27,3985.32,47.55,3.17,23906,14321,348.95,44.4,1096.0,43.2,3585.7,47029,16.5,1723.7,1155.3,61.87,-277.0,49.0,325.0
44,0,800.8,4101.0,52.04,3.17,27596,17810,377.57,67.51,1088.0,45.0,4282.1,54236,14.2,2108.1,1300.5,79.5,-337.0,50.9,325.0
45,0,827.75,4239.0,57.01,3.19,28665,21189,599.16,99.2,932.0,45.0,5035.8,61844,9.7,2633.4,2307.7,115.7,-397.0,52.8,333.0
46,0,871.1,4334.35,61.37,3.21,32009,16628,571.14,139.36,4334.0,45.0,5920.7,69702,7.0,3049.5,2757.1,156.6,-457.0,54.7,359.5
47,0,912.37,4411.78,64.88,3.27,33593,24365,727.97,184.78,4412.0,45.0,6925.2,77660,6.9,3404.8,3389.9,193.5,-517.0,56.6,407.0
48,0,954.28,4887.0,67.1,3.4,26729,19779,889.86,827.83,4887.0,45.0,7941.4,85088,6.7,3815.8,3984.1,218.58,-577.0,58.5,440.69
49,3,995.01,5095.0,69.81,3.46,29245,21526,1000.84,700.33,4475.0,45.0,8485.8,87066,6.7,3827.1,4367.6,233.73,-637.0,60.4,475.96
50,3,1037.2,5311.0,71.44,3.51,32381,22807,1266.07,741.74,5208.0,45.0,10002.2,98437,6.5,4523.4,5051.7,272.96,-697.0,62.3,479.25
51,3,1046.74,5360.0,74.54,3.59,36505,24080,1590.56,763.02,5256.0,45.0,11807.2,113316,6.6,5343.3,6155.7,312.19,-757.0,64.2,481.82
52,3,1054.74,5282.0,78.29,3.67,40742,26728,1569.01,569.48,5282.0,45.0,13319.7,126765,6.3,5737.6,7206.1,351.42,-817.0,66.1,489.84
53,3,1062.89,5323.0,84.83,3.66,44653,28812,1690.83,619.66,5323.0,45.0,14979.5,141474,5.3,6296.9,8198.1,390.65,-877.0,68.0,521.69
54,3,1077.89,5398.0,89.76,3.7,40948,28853,2166.18,589.08,5398.0,45.0,16449.5,153677,5.6,6812.0,9184.2,429.88,-937.0,69.9,541.14
55,3,1137.87,5697.0,94.92,3.74,44633,32359,3521.67,713.5,5697.0,45.0,18014.1,162599,6.7,7207.9,10288.3,469.11,-997.0,71.8,574.83
56,3,1190.84,5962.0,100.13,3.84,48695,36481,4211.04,864.95,5962.0,45.0,20079.7,172453,7.2,7780.5,11705.0,508.34,-1057.0,73.7,572.28
57,3,1252.83,6234.0,107.64,4.04,52938,38320,4593.8,1163.45,6234.0,45.0,22490.1,183544,19.6,9318.1,13152.4,547.57,-1117.0,75.6,618.83
58,3,1302.66,6484.0,114.73,3.96,57543,40535,4282.56,1419.6,6484.0,45.0,24222.0,189568,22.1,9962.0,14237.9,586.8,-1177.0,77.5,702.0
59,2,1352.49,6734.0,121.82,3.88,62522,43113,4551.0,953.24,6734.0,45.0,26927.1,203489,25.2,10495.8,16406.1,626.03,-1237.0,79.4,785.17
60,0,994.8,1337.0,210.04,3.8,13967,10989,240.72,309.07,943.0,31.6,2492.7,25626,94.4,1032.0,1249.5,665.26,264.14,81.3,166.0
61,0,996.75,1341.0,213.58,3.72,14694,11361,292.63,317.63,959.0,31.44,2841.7,28537,97.3,1125.1,1463.4,704.49,343.44,83.2,244.0
62,0,984.76,1325.0,216.25,3.15,15117,10683,326.67,279.48,970.0,32.64,3204.0,32339,103.1,1227.1,1671.3,743.72,414.97,85.1,260.0
