,p(score)
0,-0.013284772405859168
1,0.0006581112227550286
2,-0.004599914665666123
3,-0.0006094829338187802
4,-0.0007388330229139435
5,0.0011671806732681182
6,0.04524437057827674
7,0.03820008764216459
8,-0.047170198347741006
9,-0.0023551108758669615
10,-0.0007406191127095569
11,-0.000614449541616558
12,-0.006234539809145018
13,-0.006431619972587227
14,-0.004380603933478964
15,-0.007421403982437014
16,-0.005893381414694737
17,-0.035399103849050706
