rrc,decision Varibles
1,1
2,1
3,1
4,1
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,1

