,label,result
0,常住人口（万人）,0.06486413637110078
1,"人口密度
（人/平方千米）",0.08444124549775167
2,户数（万户）,0.06777768770268754
3,每户平均人口（人）,0.061143440501546534
4,"城市居民人均
可支配收入（元）",0.0632009882264571
5,"城市镇居民人均
消费支出（元）",0.06328398149098272
6,"一般公共财政支出
（亿元）",0.053942837214775705
7,"城市基础设施投资额
（亿元）",0.06804589585790151
8,城市人口密度,0.08191389017877568
9,"城市建成区
绿化覆盖率(%)",0.0648605207265273
10,"地方生产总值
（亿元）",0.06304434684051159
11,人均生产总值（元）,0.06226509086546663
12,"第一产业生产总值
（亿元）",0.07039269784923782
13,"第二产业生产总值
（亿元）",0.06111766325755254
14,"第三产业生产总值
（亿元）",0.06970557741872496
